OrderID,OrderDate,ShipDate,CustomerID,Region,ProductID,Quantity,UnitPrice,Discount,Sales,Cost,Profit,Priority
1,2023-10-02,2023-10-10,CUST-0166,West,23,7,304.91,0.05,2027.65,1255.52,772.13,Medium
2,2024-04-20,2024-04-21,CUST-0292,Central,98,4,10.46,0.05,39.75,25.36,14.39,Critical
3,2023-11-29,2023-12-04,CUST-0094,South,55,4,142.68,0.05,542.18,543.56,-1.38,High
4,2023-10-14,2023-10-23,CUST-0306,North,143,4,699.09,0.0,2796.36,2237.08,559.28,Medium
5,2023-03-29,2023-04-02,CUST-0124,South,126,13,662.32,0.15,7318.64,5627.57,1691.07,Critical
6,2024-10-23,2024-10-25,CUST-0365,South,115,8,747.93,0.0,5983.44,3936.48,2046.96,High
7,2023-08-15,2023-08-21,CUST-0208,West,79,3,624.04,0.15,1591.3,1534.53,56.77,Critical
8,2024-07-20,2024-07-26,CUST-0272,North,109,7,1141.48,0.15,6791.81,5510.61,1281.2,High
9,2024-12-20,2024-12-24,CUST-0233,North,79,5,624.04,0.05,2964.19,2557.55,406.64,Low
10,2023-07-17,2023-07-21,CUST-0162,East,138,1,1023.93,0.0,1023.93,758.47,265.46,Medium
11,2024-05-10,2024-05-15,CUST-0142,Central,135,2,199.75,0.15,339.58,366.52,-26.94,Low
12,2023-07-18,2023-07-23,CUST-0152,West,93,6,674.62,0.0,4047.72,3089.88,957.84,Low
13,2024-12-26,2024-12-27,CUST-0274,West,71,13,207.35,0.0,2695.55,1695.33,1000.22,High
14,2024-12-15,2024-12-25,CUST-0065,South,27,4,730.68,0.0,2922.72,2757.28,165.44,High
15,2024-04-25,2024-04-26,CUST-0246,South,88,3,198.66,0.0,595.98,394.68,201.3,High
16,2024-05-04,2024-05-06,CUST-0059,East,103,5,617.91,0.1,2780.6,2471.65,308.95,Low
17,2023-06-05,2023-06-09,CUST-0077,Central,78,3,717.48,0.0,2152.44,1992.99,159.45,Low
18,2024-07-25,2024-08-01,CUST-0392,South,58,3,185.6,0.15,473.28,467.91,5.37,Critical
19,2024-03-29,2024-04-08,CUST-0153,Central,110,4,488.34,0.05,1855.69,1337.92,517.77,Low
20,2024-09-16,2024-09-21,CUST-0379,East,54,1,465.39,0.0,465.39,391.08,74.31,Low
21,2023-06-10,2023-06-13,CUST-0123,West,142,8,889.09,0.0,7112.72,6027.76,1084.96,Low
22,2024-02-23,2024-02-24,CUST-0231,Central,121,1,355.94,0.05,338.14,309.51,28.63,Medium
23,2023-10-23,2023-10-27,CUST-0362,North,117,1,255.38,0.0,255.38,211.06,44.32,High
24,2024-10-02,2024-10-11,CUST-0302,West,109,5,1141.48,0.0,5707.4,3936.15,1771.25,Medium
25,2024-10-25,2024-10-26,CUST-0077,North,37,8,611.28,0.0,4890.24,3396.0,1494.24,Medium
26,2023-11-11,2023-11-13,CUST-0305,Central,74,5,108.38,0.1,487.71,483.85,3.86,Critical
27,2024-12-06,2024-12-15,CUST-0156,South,70,4,1142.57,0.15,3884.74,2821.16,1063.58,Critical
28,2024-03-24,2024-03-30,CUST-0042,Central,11,3,173.66,0.1,468.88,473.61,-4.73,High
29,2023-01-27,2023-01-28,CUST-0047,West,148,3,201.59,0.15,514.05,435.09,78.96,High
30,2024-08-13,2024-08-21,CUST-0021,West,121,10,355.94,0.15,3025.49,3095.1,-69.61,High
31,2023-07-05,,CUST-0300,South,126,6,662.32,0.0,3973.92,2597.34,1376.58,High
32,2024-02-23,2024-02-29,CUST-0171,North,27,3,730.68,0.0,2192.04,2067.96,124.08,Critical
33,2024-12-11,2024-12-12,CUST-0254,North,103,2,617.91,0.15,1050.45,988.66,61.79,Critical
34,2023-04-01,2023-04-08,CUST-0162,North,83,7,208.13,0.0,1456.91,1204.07,252.84,Low
35,2024-11-04,2024-11-08,CUST-0278,South,106,10,650.41,0.0,6504.1,5287.9,1216.2,High
36,2024-09-29,2024-10-03,CUST-0388,South,114,9,149.85,0.0,1348.65,999.0,349.65,High
37,2024-07-16,2024-07-18,CUST-0068,North,113,2,739.43,0.1,1330.97,896.28,434.69,Low
38,2024-10-07,2024-10-16,CUST-0312,West,41,3,16.19,0.05,46.14,32.16,13.98,Low
39,2024-07-19,2024-07-27,CUST-0209,East,58,3,185.6,0.0,556.8,467.91,88.89,Low
40,2024-10-25,2024-10-30,CUST-0079,South,75,4,272.51,0.15,926.53,916.0,10.53,Critical
41,2024-05-09,2024-05-12,CUST-0242,West,117,8,255.38,,1736.58,1688.48,48.1,Critical
42,2023-07-15,2023-07-20,CUST-0307,Central,35,12,927.25,0.0,11127.0,7042.44,4084.56,Critical
43,2023-12-15,2023-12-20,CUST-0260,North,1,6,719.38,0.05,4100.47,3567.18,533.29,Critical
44,2023-06-02,2023-06-08,CUST-0229,Central,124,2,1063.46,0.05,2020.57,1372.2,648.37,Critical
45,2024-04-11,2024-04-18,CUST-0165,West,62,4,712.29,0.15,2421.79,1912.2,509.59,Medium
46,2024-02-25,2024-03-03,CUST-0023,North,122,13,425.22,0.1,4975.07,4352.66,622.41,Medium
47,2024-05-22,2024-05-28,CUST-0019,West,129,5,1110.78,0.15,4720.81,3366.0,1354.81,Low
48,2024-03-26,2024-03-29,CUST-0052,Central,117,3,255.38,0.0,766.14,633.18,132.96,Critical
49,2024-11-01,2024-11-07,CUST-0080,East,121,4,355.94,0.05,1352.57,1238.04,114.53,Critical
50,2024-10-27,2024-11-02,CUST-0042,North,137,6,142.54,0.1,769.72,756.84,12.88,Critical
51,2024-07-08,2024-07-13,CUST-0019,Central,18,2,844.96,0.0,1689.92,1290.02,399.9,Medium
52,2023-04-03,2023-04-06,CUST-0223,East,26,3,524.26,0.1,1415.5,925.17,490.33,High
53,2023-01-30,2023-02-05,CUST-0024,North,15,9,1101.97,0.05,9421.84,6746.76,2675.08,High
54,2024-03-17,2024-03-27,CUST-0075,West,136,6,896.73,0.1,4842.34,4559.64,282.7,Medium
55,2023-06-24,2023-06-28,CUST-0090,East,98,5,10.46,0.15,44.46,31.7,12.76,Critical
56,2024-08-20,2024-08-28,CUST-0074,West,119,9,686.72,0.05,5871.46,5150.43,721.03,High
57,2024-11-13,2024-11-16,CUST-0005,South,74,2,108.38,0.15,184.25,193.54,-9.29,Low
58,2024-03-28,2024-04-02,CUST-0177,Central,77,3,1159.58,0.1,3130.87,2174.22,956.65,Critical
59,2023-11-06,2023-11-10,CUST-0102,South,124,6,1063.46,0.0,6380.76,4116.6,2264.16,Critical
60,2024-08-08,2024-08-09,CUST-0184,Central,76,6,882.5,0.05,5030.25,3309.36,1720.89,Critical
61,2023-10-09,2023-10-17,CUST-0005,Central,13,1,329.95,0.15,280.46,225.99,54.47,High
62,2023-08-24,2023-09-03,CUST-0311,North,57,3,849.36,0.0,2548.08,1676.37,871.71,High
63,2024-11-25,2024-11-30,CUST-0387,West,25,4,837.8,0.0,3351.2,2538.8,812.4,Critical
64,2023-02-04,2023-02-09,CUST-0297,North,34,6,236.39,0.0,1418.34,1172.16,246.18,High
65,2024-03-01,2024-03-07,CUST-0090,West,34,6,236.39,0.15,1205.59,1172.16,33.43,High
66,2023-06-18,2023-06-20,CUST-0132,South,76,4,882.5,0.05,3353.5,2206.24,1147.26,Critical
67,2023-03-19,2023-03-25,CUST-0073,,102,1,521.54,0.15,443.31,445.76,-2.45,Low
68,2024-02-09,2024-02-17,CUST-0008,North,138,4,1023.93,0.0,4095.72,3033.88,1061.84,High
69,2024-11-19,2024-11-25,CUST-0384,North,150,5,537.46,0.1,2418.57,1756.4,662.17,Low
70,2024-11-22,2024-12-01,CUST-0120,South,7,21,972.79,0.15,17364.3,16085.58,1278.72,High
71,2024-09-16,2024-09-23,CUST-0114,East,119,4,686.72,0.05,2609.54,2289.08,320.46,Low
72,2023-05-24,2023-05-26,CUST-0024,East,78,6,717.48,0.1,3874.39,3985.98,-111.59,Low
73,2023-08-29,2023-09-04,CUST-0276,West,100,10,407.3,0.1,3665.7,2545.6,1120.1,Critical
74,2024-08-24,2024-09-01,CUST-0381,West,107,8,1009.7,0.0,8077.6,5245.2,2832.4,Critical
75,2023-10-14,2023-10-22,CUST-0017,North,56,12,1156.86,0.1,12494.09,8898.96,3595.13,Medium
76,2024-01-07,2024-01-08,CUST-0051,North,140,1,864.58,0.05,821.35,771.95,49.4,Critical
77,2023-10-10,2023-10-14,CUST-0098,East,117,2,255.38,0.0,510.76,422.12,88.64,Low
78,2023-02-21,2023-02-25,CUST-0171,West,33,3,278.46,0.15,710.07,788.1,-78.03,Low
79,2024-07-21,2024-07-27,CUST-0107,Central,56,1,1156.86,0.0,1156.86,741.58,415.28,Medium
80,2024-09-02,2024-09-11,CUST-0002,North,38,5,749.04,0.0,3745.2,2858.95,886.25,High
81,2023-06-28,2023-07-04,CUST-0057,East,34,2,236.39,0.0,472.78,390.72,82.06,Medium
82,2024-08-25,2024-08-26,CUST-0166,East,45,13,987.17,0.05,12191.55,8174.01,4017.54,Medium
83,2024-03-07,2024-03-15,CUST-0270,East,17,2,1046.36,0.1,1883.45,1350.14,533.31,High
84,2024-06-09,2024-06-13,CUST-0304,East,116,3,1098.97,0.15,2802.37,2154.84,647.53,Low
85,2024-11-05,2024-11-06,CUST-0267,North,118,8,472.2,0.0,3777.6,3122.0,655.6,Critical
86,2024-02-16,2024-02-18,CUST-0219,East,126,1,662.32,0.1,596.09,432.89,163.2,Low
87,2023-11-26,2023-12-01,CUST-0312,West,17,1,1046.36,0.0,1046.36,675.07,371.29,High
88,2024-01-26,2024-02-04,CUST-0306,Central,76,5,882.5,0.1,3971.25,2757.8,1213.45,Critical
89,2023-04-12,2023-04-19,CUST-0360,East,142,6,889.09,0.0,5334.54,4520.82,813.72,Critical
90,2023-08-22,2023-08-29,CUST-0212,North,117,8,255.38,0.1,1838.74,1688.48,150.26,Low
91,2023-11-17,2023-11-20,CUST-0219,North,66,7,476.28,0.05,3167.26,2237.55,929.71,Critical
92,2023-03-10,2023-03-12,CUST-0047,East,24,6,975.42,0.1,5267.27,3635.1,1632.17,High
93,2023-05-14,2023-05-20,CUST-0285,East,144,2,802.82,0.15,1364.79,1254.4,110.39,Low
94,2024-02-25,2024-03-06,CUST-0182,South,14,5,356.16,0.05,1691.76,1496.45,195.31,High
95,2023-12-27,2023-12-30,CUST-0054,Central,130,6,703.81,0.0,4222.86,2853.3,1369.56,Critical
96,2023-08-18,2023-08-20,CUST-0056,North,143,2,699.09,0.05,1328.27,1118.54,209.73,High
97,2024-08-10,2024-08-20,CUST-0116,South,144,16,802.82,0.15,10918.35,10035.2,883.15,Low
98,2024-09-15,2024-09-20,CUST-0337,North,8,7,131.02,0.0,917.14,573.23,343.91,High
99,2023-12-14,2023-12-24,CUST-0180,East,47,2,571.95,0.0,1143.9,752.56,391.34,Critical
100,2023-03-13,2023-03-17,CUST-0073,East,24,8,975.42,,6632.86,4846.8,1786.06,Critical
101,2024-03-05,2024-03-10,CUST-0233,North,41,9,16.19,0.05,138.42,96.48,41.94,High
102,2024-08-04,2024-08-07,CUST-0306,East,14,6,356.16,0.0,2136.96,1795.74,341.22,Low
103,2024-11-21,2024-11-29,CUST-0042,North,114,4,149.85,0.1,539.46,444.0,95.46,Critical
104,2024-02-29,2024-03-06,CUST-0140,West,132,2,364.6,0.0,729.2,612.78,116.42,Critical
105,2023-04-24,2023-04-29,CUST-0146,Central,125,4,12.4,0.15,42.16,38.76,3.4,Low
106,2023-08-14,2023-08-18,CUST-0203,Central,15,6,1101.97,0.0,6611.82,4497.84,2113.98,High
107,2023-08-05,2023-08-11,CUST-0393,West,66,5,476.28,0.05,2262.33,1598.25,664.08,Low
108,2023-01-08,2023-01-15,CUST-0255,South,45,13,987.17,0.0,12833.21,8174.01,4659.2,Medium
109,2024-05-27,2024-05-28,CUST-0287,North,19,7,1037.93,0.1,6538.96,5116.58,1422.38,Critical
110,2023-01-20,2023-01-27,CUST-0236,East,81,2,955.96,0.15,1625.13,1337.0,288.13,Critical
111,2024-12-27,2025-01-03,CUST-0328,South,75,1,272.51,0.0,272.51,229.0,43.51,Low
112,2023-11-29,2023-12-01,CUST-0088,Central,118,7,472.2,0.05,3140.13,2731.75,408.38,Critical
113,2023-04-19,2023-04-21,CUST-0125,South,103,4,617.91,0.15,2100.89,1977.32,123.57,Critical
114,2023-11-14,2023-11-17,CUST-0382,North,57,8,849.36,0.05,6455.14,4470.32,1984.82,Low
115,2024-06-06,2024-06-10,CUST-0325,East,136,7,896.73,0.15,5335.54,5319.58,15.96,High
116,2023-12-26,2023-12-29,CUST-0373,West,61,4,845.7,0.0,3382.8,3075.28,307.52,High
117,2023-07-22,2023-07-25,CUST-0089,Central,40,2,59.25,0.0,118.5,111.8,6.7,Critical
118,2024-04-20,2024-04-30,CUST-0387,Central,149,1,906.53,0.1,815.88,647.52,168.36,High
119,2024-10-04,2024-10-12,CUST-0162,West,113,5,739.43,0.0,3697.15,2240.7,1456.45,Critical
120,2024-10-08,2024-10-17,CUST-0156,North,15,1,1101.97,0.05,1046.87,749.64,297.23,Low
121,2023-11-14,2023-11-20,CUST-0237,South,10,2,705.75,0.0,1411.5,887.74,523.76,High
122,2023-03-20,2023-03-28,CUST-0331,East,130,5,703.81,0.1,3167.14,2377.75,789.39,Low
123,2024-04-05,2024-04-13,CUST-0293,West,83,5,208.13,0.15,884.55,860.05,24.5,Medium
124,2023-03-05,2023-03-14,CUST-0231,East,88,1,198.66,0.0,198.66,131.56,67.1,Medium
125,2023-02-10,2023-02-19,CUST-0127,South,113,10,739.43,0.15,6285.15,4481.4,1803.75,Medium
126,2024-01-08,2024-01-14,CUST-0191,North,100,10,407.3,0.1,3665.7,2545.6,1120.1,Low
127,2024-10-08,2024-10-10,CUST-0332,North,17,7,1046.36,0.05,6958.29,4725.49,2232.8,Critical
128,2023-10-18,2023-10-20,CUST-0130,Central,39,7,965.05,0.05,6417.58,5041.33,1376.25,Medium
129,2023-12-25,2023-12-27,CUST-0159,South,34,7,236.39,0.15,1406.52,1367.52,39.0,High
130,2024-07-26,2024-07-28,CUST-0193,North,33,9,278.46,0.15,2130.22,2364.3,-234.08,Critical
